Job Class,Percentage,Link
Management,6.1,https://en.wikipedia.org/wiki/Management
Business and Financial operations,5,https://en.wikipedia.org/wiki/Business_operations
Computer and Mathematical,2.7,https://en.wikipedia.org/wiki/Computer_mathematics
Architecture and Engineering,1.7,https://en.wikipedia.org/wiki/Architectural_engineering
"Life, Physical and Social Science",0.9,https://en.wikipedia.org/wiki/Social_science
Community and Social Service,1.6,https://en.wikipedia.org/wiki/Community_service
Legal,0.8,https://en.wikipedia.org/wiki/Law
"Education, training and library",6.1,https://en.wikipedia.org/wiki/Pedagogy
"Arts, design, entertainment, sports and media",1.7,https://en.wikipedia.org/wiki/Graphic_design
Healthcare practioners and technical,5.5,https://en.wikipedia.org/wiki/Health_care
Healthcare support,2.8,https://en.wikipedia.org/wiki/Public_health
Protective service,2.3,https://en.wikipedia.org/wiki/Security_guard
Food preparation and serving,8.3,https://en.wikipedia.org/wiki/Chef
Building and grounds cleaning and maintenance,3.7,https://en.wikipedia.org/wiki/Facility_management
Personal care and service,4,https://en.wikipedia.org/wiki/Personal_care
Sales,10.2,https://en.wikipedia.org/wiki/Sales
Office and administrative support,15.1,https://en.wikipedia.org/wiki/Office_administration
"Farming, fishing and forestry",0.6,https://en.wikipedia.org/wiki/Agriculture
Construction and extraction,4.3,https://en.wikipedia.org/wiki/Construction
"Installation, maintenance and repair",3.8,https://en.wikipedia.org/wiki/Maintenance_(technical)
Production,6.1,https://en.wikipedia.org/wiki/Manufacturing
Transportation and material moving,6.5,https://en.wikipedia.org/wiki/Transport
Total,99.8
